,age,job,marital,education,default,housing,contact,month,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
65,33.0,7,0,2,0,0,1,1,4,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
66,31.0,10,1,2,0,1,1,4,4,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
67,32.0,7,1,1,0,1,1,1,3,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
68,35.0,10,2,3,0,1,1,2,1,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
69,45.0,7,2,1,0,1,0,5,3,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
70,36.0,1,1,1,0,0,1,3,2,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,1
71,29.0,3,2,2,0,1,0,3,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
72,46.0,1,2,1,0,1,0,3,4,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0
73,34.0,6,0,3,1,1,1,1,3,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
74,35.0,4,0,4,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0
75,44.0,4,0,0,0,1,0,5,25,999,0,0,1.4,94.465,-41.8,4.96,5228.1,0
76,37.0,1,2,1,0,0,1,1,2,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
77,46.0,1,0,1,1,1,1,1,9,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
78,33.0,3,0,2,0,0,0,5,4,999,0,0,1.4,94.465,-41.8,4.947,5228.1,0
79,48.0,1,2,2,1,1,1,3,1,999,0,0,-1.8,92.893,-46.2,1.2990000000000002,5099.1,1
80,53.0,4,0,0,1,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0
81,29.0,2,0,1,0,2,1,4,2,999,0,0,1.4,93.918,-42.7,4.958,5228.1,0
82,39.0,4,0,3,1,1,0,3,3,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
83,45.0,1,0,1,0,1,1,4,1,999,0,0,-2.9,92.469,-33.6,1.029,5076.2,0
84,48.0,0,0,4,1,1,0,5,5,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
85,49.0,10,0,0,1,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0
86,62.0,0,0,1,0,1,1,2,1,1,6,2,-1.1,94.767,-50.8,1.031,4963.6,1
87,60.0,5,0,1,0,1,0,6,1,999,0,0,-3.4,92.379,-29.8,0.809,5017.5,0
88,54.0,4,0,3,1,1,1,1,4,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
89,42.0,6,0,1,0,0,1,1,3,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
90,33.0,4,0,3,0,1,1,3,1,999,0,0,-1.8,92.893,-46.2,1.264,5099.1,0
91,40.0,1,1,2,0,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
92,44.0,3,2,2,0,1,1,4,5,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
93,49.0,4,0,3,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
94,29.0,4,0,5,0,1,1,3,6,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
95,31.0,3,0,3,0,0,1,0,3,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
96,31.0,4,0,3,0,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
97,56.0,3,1,0,1,1,1,3,2,999,0,0,-1.8,92.893,-46.2,1.2990000000000002,5099.1,0
98,33.0,1,1,1,0,1,1,4,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
99,28.0,3,1,2,0,1,1,4,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
100,46.0,1,0,2,0,0,1,4,10,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
101,25.0,1,1,4,0,1,0,2,4,999,0,0,-3.4,92.649,-30.1,0.7140000000000001,5017.5,0
102,48.0,9,0,0,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
103,32.0,1,2,2,0,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,0
104,56.0,1,0,1,1,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
105,25.0,6,1,1,0,1,1,6,1,999,0,0,-3.4,92.379,-29.8,0.797,5017.5,0
106,41.0,5,0,1,0,1,1,0,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
107,39.0,6,0,5,0,1,1,4,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
108,31.0,6,0,3,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
109,53.0,1,0,1,0,1,1,7,1,999,0,0,-3.0,92.713,-33.0,0.706,5023.5,0
110,27.0,8,1,1,0,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,0
111,37.0,1,0,1,1,1,0,3,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
112,26.0,1,1,2,1,1,1,4,6,999,0,0,1.4,93.918,-42.7,4.958,5228.1,0
113,54.0,1,0,3,0,0,1,2,2,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0
114,45.0,10,0,1,1,1,1,4,2,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0
115,41.0,3,2,2,0,0,1,4,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
116,55.0,7,0,4,0,0,1,4,8,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
117,29.0,4,1,6,0,1,0,3,7,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
118,30.0,5,1,1,0,1,1,0,1,999,0,0,-1.8,93.075,-47.1,1.415,5099.1,0
119,30.0,4,0,0,0,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
120,59.0,3,2,2,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
121,26.0,3,0,2,0,0,0,5,11,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
122,35.0,2,0,2,0,1,1,1,1,6,1,2,-1.7,94.027,-38.3,0.904,4991.6,1
123,58.0,5,0,1,1,0,0,3,5,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
124,37.0,4,0,0,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.958,5228.1,0
125,34.0,2,0,5,1,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0
126,60.0,6,1,3,1,1,0,5,5,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
127,36.0,4,0,3,0,1,1,3,3,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,0
128,52.0,0,0,0,0,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
129,48.0,7,0,6,0,1,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
130,18.0,8,1,0,0,1,1,5,1,999,0,0,-1.7,94.055,-39.8,0.737,4991.6,0
131,27.0,1,1,1,0,1,1,1,1,6,1,2,-2.9,92.201,-31.4,0.883,5076.2,0
132,31.0,4,0,6,1,0,1,4,3,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
133,40.0,9,0,3,0,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
134,42.0,4,0,0,0,2,1,4,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
135,56.0,5,0,1,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
136,36.0,7,0,2,0,1,0,2,1,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0
137,27.0,8,1,2,1,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0
138,31.0,3,1,1,1,1,1,1,3,999,0,0,1.4,93.444,-36.1,4.966,5228.1,1
139,57.0,2,0,1,0,1,1,4,4,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
140,42.0,4,0,5,1,0,0,3,4,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
141,53.0,4,0,5,0,1,1,1,6,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
142,29.0,6,1,1,0,1,1,0,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
143,31.0,4,0,0,0,1,0,3,3,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
144,28.0,4,0,3,0,0,0,3,4,999,0,0,1.1,93.994,-36.4,4.859,5191.0,1
145,28.0,3,0,2,0,1,1,4,1,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0
146,57.0,0,1,4,1,0,1,4,5,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
147,57.0,7,1,6,1,1,0,5,1,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
148,39.0,3,0,4,1,2,1,4,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
149,38.0,4,0,3,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
150,59.0,1,2,1,0,1,1,3,1,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,1
151,34.0,7,1,6,0,0,0,3,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
152,40.0,7,0,6,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0
153,40.0,1,1,2,0,1,0,5,13,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
154,39.0,1,0,2,0,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
155,30.0,1,0,2,0,1,1,4,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
156,34.0,7,0,2,0,0,1,2,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,1
157,42.0,3,0,5,0,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
158,24.0,3,1,2,0,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
159,31.0,7,0,6,0,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0
160,60.0,10,0,0,0,1,1,4,1,999,0,0,-2.9,92.469,-33.6,1.072,5076.2,0
161,37.0,1,0,1,0,0,1,1,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
162,38.0,4,0,3,0,1,1,2,2,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0
163,42.0,1,0,1,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
164,50.0,10,1,4,0,0,0,5,4,999,0,0,1.4,94.465,-41.8,4.96,5228.1,1
165,44.0,4,0,5,0,1,1,2,2,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0
166,20.0,8,1,2,0,1,1,5,2,999,0,0,-2.9,92.963,-40.8,1.268,5076.2,1
167,29.0,1,1,1,1,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
168,27.0,1,0,3,0,1,0,5,3,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
169,38.0,5,0,1,0,1,1,4,4,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
170,44.0,7,0,6,0,0,1,1,2,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
171,44.0,1,0,1,0,0,1,8,1,999,0,0,-3.4,92.431,-26.9,0.735,5017.5,0
172,56.0,4,0,0,1,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
173,34.0,1,1,1,0,1,1,0,7,999,0,0,-1.8,93.075,-47.1,1.423,5099.1,0
174,27.0,7,1,6,0,0,1,4,3,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
175,39.0,5,0,1,0,1,1,5,1,999,0,0,-2.9,92.963,-40.8,1.26,5076.2,0
176,22.0,8,1,2,0,1,1,8,1,6,1,2,-3.4,92.431,-26.9,0.742,5017.5,1
177,33.0,1,0,1,0,0,0,8,1,999,0,0,-0.1,93.798,-40.4,4.827,5195.8,0
178,36.0,1,1,1,0,1,1,3,3,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,0
179,38.0,3,0,2,1,0,0,3,6,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0
180,48.0,4,0,0,1,0,1,1,3,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0
181,30.0,3,0,5,0,1,1,4,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
182,43.0,1,0,1,0,1,1,5,1,999,0,0,-2.9,92.963,-40.8,1.252,5076.2,0
183,37.0,2,1,1,0,0,1,5,2,999,0,0,-1.7,94.055,-39.8,0.748,4991.6,0
184,42.0,5,2,1,0,0,1,3,5,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
185,44.0,3,2,2,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
186,36.0,1,0,2,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
187,38.0,4,0,2,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
188,51.0,9,1,3,0,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,0
189,51.0,5,0,4,1,1,0,5,3,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0
190,39.0,1,0,1,0,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.86,5191.0,1
191,33.0,7,0,1,0,0,1,3,3,999,0,0,-1.8,92.893,-46.2,1.327,5099.1,0
192,26.0,3,1,2,0,1,1,4,4,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0
193,43.0,4,0,3,1,0,0,5,23,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
194,55.0,5,0,6,0,1,1,2,2,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
195,34.0,3,0,2,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,1
196,32.0,1,1,1,0,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
197,41.0,4,2,4,0,1,1,4,7,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
198,44.0,1,1,1,1,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.958,5228.1,0
199,29.0,7,1,4,0,0,0,5,4,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0
200,52.0,1,0,1,0,1,1,3,2,999,0,0,-1.8,93.876,-40.0,0.6679999999999999,5008.7,1
201,33.0,4,1,0,0,1,1,0,2,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
202,48.0,1,0,2,1,1,0,5,3,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
203,31.0,3,0,2,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
204,55.0,4,0,0,0,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0
205,58.0,7,0,6,0,1,0,3,3,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
206,69.0,0,0,4,0,0,1,0,1,999,0,0,-1.8,93.075,-47.1,1.41,5099.1,0
207,58.0,3,2,6,0,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
208,30.0,4,0,3,0,0,1,4,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
209,41.0,4,0,5,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
210,45.0,5,0,6,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
211,26.0,3,1,2,0,1,1,4,3,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
212,37.0,4,0,0,0,1,0,5,2,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
213,51.0,4,0,3,1,1,0,5,1,999,0,0,1.4,94.465,-41.8,4.96,5228.1,0
214,26.0,7,0,4,0,0,1,3,2,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,0
215,35.0,1,0,1,0,2,0,4,4,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
216,50.0,9,0,1,0,0,1,4,2,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
217,37.0,1,0,1,0,1,0,3,12,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
218,34.0,5,1,6,0,1,1,2,2,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
219,27.0,4,1,5,0,1,0,5,2,999,0,0,1.4,94.465,-41.8,4.967,5228.1,0
220,33.0,1,0,2,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0
221,35.0,4,0,5,0,0,1,4,4,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
222,48.0,1,0,2,0,1,0,5,1,999,0,0,-1.7,94.055,-39.8,0.711,4991.6,0
223,32.0,9,0,1,0,0,1,2,3,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
224,34.0,7,0,1,0,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
225,52.0,2,0,2,0,1,0,5,2,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
226,43.0,3,2,2,0,0,1,2,1,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,1
227,35.0,5,2,1,0,0,1,1,7,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0
228,35.0,1,1,2,0,0,1,2,2,7,2,1,-3.4,92.649,-30.1,0.715,5017.5,0
229,50.0,11,0,4,1,1,1,4,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
230,41.0,6,0,2,1,0,0,3,4,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0
231,27.0,1,1,1,0,0,1,1,1,999,0,0,-1.7,94.027,-38.3,0.899,4991.6,1
232,37.0,1,0,1,0,0,1,1,2,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0
233,37.0,1,2,2,0,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
234,44.0,1,0,1,1,1,0,3,7,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
235,19.0,8,1,4,0,1,1,0,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,1
236,44.0,7,0,2,0,1,0,4,1,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
237,49.0,1,2,1,0,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
238,32.0,9,0,2,0,1,1,3,2,999,0,0,-1.8,92.893,-46.2,1.291,5099.1,0
239,30.0,1,0,2,0,0,0,5,3,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0
240,58.0,1,2,1,1,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
241,40.0,4,0,3,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
242,42.0,7,2,1,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
243,26.0,4,0,0,1,0,1,4,1,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
244,45.0,4,0,3,1,1,1,0,4,999,0,0,-1.8,93.075,-47.1,1.423,5099.1,0
245,28.0,3,1,2,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
246,60.0,1,0,1,0,0,1,1,3,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
247,36.0,4,0,3,0,0,1,3,1,999,0,0,-1.8,92.893,-46.2,1.327,5099.1,0
248,31.0,7,0,6,0,1,0,5,2,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0
249,58.0,2,0,3,0,1,1,0,1,6,1,2,-1.8,93.749,-34.6,0.644,5008.7,1
250,37.0,1,0,2,0,0,1,2,4,999,0,0,-3.4,92.649,-30.1,0.722,5017.5,0
251,23.0,8,1,2,0,1,1,0,3,999,0,0,-1.8,93.075,-47.1,1.365,5099.1,0
252,43.0,5,0,1,0,1,0,2,2,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0
253,48.0,10,0,5,1,0,1,1,8,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
254,37.0,7,0,2,1,1,0,5,1,999,0,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
255,50.0,1,0,1,0,1,0,0,3,999,0,0,-1.8,93.075,-47.1,1.406,5099.1,1
256,29.0,7,1,3,0,1,0,4,1,6,1,2,-1.7,94.215,-40.3,0.84,4991.6,1
257,69.0,0,0,2,0,1,1,6,1,6,2,2,-1.1,94.199,-37.5,0.8859999999999999,4963.6,1
258,46.0,1,2,1,1,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
259,31.0,1,1,2,0,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
260,33.0,7,1,2,0,1,1,3,3,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,0
261,23.0,8,1,2,0,0,0,5,4,999,0,0,-2.9,92.963,-40.8,1.262,5076.2,0
